Index	Name	R	G	B	A
0	Unknown	0	0	0	0
2	Left-Cerebral-White-Matter	245	245	245	255
3	Left-Cerebral-Cortex	205	62	78	255
4	Left-Lateral-Ventricle	120	18	134	255
7	Left-Cerebellum-White-Matter	220	248	164	255
8	Left-Cerebellum-Cortex	230	148	34	255
10	Left-Thalamus	0	118	14	255
11	Left-Caudate	122	186	220	255
12	Left-Putamen	236	13	176	255
13	Left-Pallidum	12	48	255	255
16	Brain-Stem	119	159	176	255
17	Left-Hippocampus	220	216	20	255
18	Left-Amygdala	103	255	255	255
26	Left-Accumbens-area	255	165	0	255
28	Left-VentralDC	165	42	42	255
41	Right-Cerebral-White-Matter	245	245	245	255
42	Right-Cerebral-Cortex	205	62	78	255
43	Right-Lateral-Ventricle	120	18	134	255
46	Right-Cerebellum-White-Matter	220	248	164	255
47	Right-Cerebellum-Cortex	230	148	34	255
49	Right-Thalamus	0	118	14	255
50	Right-Caudate	122	186	220	255
51	Right-Putamen	236	13	176	255
52	Right-Pallidum	13	48	255	255
53	Right-Hippocampus	220	216	20	255
54	Right-Amygdala	103	255	255	255
58	Right-Accumbens-area	255	165	0	255
60	Right-VentralDC	165	42	42	255
77	WM-hypointensities	200	70	255	255
1001	ctx-lh-bankssts	25	100	40	255
1002	ctx-lh-caudalanteriorcingulate	125	100	160	255
1003	ctx-lh-caudalmiddlefrontal	100	25	0	255
1005	ctx-lh-cuneus	220	20	100	255
1006	ctx-lh-entorhinal	220	20	10	255
1007	ctx-lh-fusiform	180	220	140	255
1008	ctx-lh-inferiorparietal	220	60	220	255
1009	ctx-lh-inferiortemporal	180	40	120	255
1010	ctx-lh-isthmuscingulate	140	20	140	255
1011	ctx-lh-lateraloccipital	20	30	140	255
1012	ctx-lh-lateralorbitofrontal	35	75	50	255
1013	ctx-lh-lingual	225	140	140	255
1014	ctx-lh-medialorbitofrontal	200	35	75	255
1015	ctx-lh-middletemporal	160	100	50	255
1016	ctx-lh-parahippocampal	20	220	60	255
1017	ctx-lh-paracentral	60	220	60	255
1018	ctx-lh-parsopercularis	220	180	140	255
1019	ctx-lh-parsorbitalis	20	100	50	255
1020	ctx-lh-parstriangularis	220	60	20	255
1021	ctx-lh-pericalcarine	120	100	60	255
1022	ctx-lh-postcentral	220	20	20	255
1023	ctx-lh-posteriorcingulate	220	180	220	255
1024	ctx-lh-precentral	60	20	220	255
1025	ctx-lh-precuneus	160	140	180	255
1026	ctx-lh-rostralanteriorcingulate	80	20	140	255
1027	ctx-lh-rostralmiddlefrontal	75	50	125	255
1028	ctx-lh-superiorfrontal	20	220	160	255
1029	ctx-lh-superiorparietal	20	180	140	255
1030	ctx-lh-superiortemporal	140	220	220	255
1031	ctx-lh-supramarginal	80	160	20	255
1032	ctx-lh-frontalpole	100	0	100	255
1033	ctx-lh-temporalpole	70	70	70	255
1034	ctx-lh-transversetemporal	150	150	200	255
1035	ctx-lh-insula	255	192	32	255
2001	ctx-rh-bankssts	25	100	40	255
2002	ctx-rh-caudalanteriorcingulate	125	100	160	255
2003	ctx-rh-caudalmiddlefrontal	100	25	0	255
2005	ctx-rh-cuneus	220	20	100	255
2006	ctx-rh-entorhinal	220	20	10	255
2007	ctx-rh-fusiform	180	220	140	255
2008	ctx-rh-inferiorparietal	220	60	220	255
2009	ctx-rh-inferiortemporal	180	40	120	255
2010	ctx-rh-isthmuscingulate	140	20	140	255
2011	ctx-rh-lateraloccipital	20	30	140	255
2012	ctx-rh-lateralorbitofrontal	35	75	50	255
2013	ctx-rh-lingual	225	140	140	255
2014	ctx-rh-medialorbitofrontal	200	35	75	255
2015	ctx-rh-middletemporal	160	100	50	255
2016	ctx-rh-parahippocampal	20	220	60	255
2017	ctx-rh-paracentral	60	220	60	255
2018	ctx-rh-parsopercularis	220	180	140	255
2019	ctx-rh-parsorbitalis	20	100	50	255
2020	ctx-rh-parstriangularis	220	60	20	255
2021	ctx-rh-pericalcarine	120	100	60	255
2022	ctx-rh-postcentral	220	20	20	255
2023	ctx-rh-posteriorcingulate	220	180	220	255
2024	ctx-rh-precentral	60	20	220	255
2025	ctx-rh-precuneus	160	140	180	255
2026	ctx-rh-rostralanteriorcingulate	80	20	140	255
2027	ctx-rh-rostralmiddlefrontal	75	50	125	255
2028	ctx-rh-superiorfrontal	20	220	160	255
2029	ctx-rh-superiorparietal	20	180	140	255
2030	ctx-rh-superiortemporal	140	220	220	255
2031	ctx-rh-supramarginal	80	160	20	255
2032	ctx-rh-frontalpole	100	0	100	255
2033	ctx-rh-temporalpole	70	70	70	255
2034	ctx-rh-transversetemporal	150	150	200	255
2035	ctx-rh-insula	255	192	32	255
